word,part_of_speech,level,taught,week_taught,notes
brother,n.,1200,no,,
brown,adj./v.,1200,no,,
brunch,n.,800,no,,
brush,v./n.,1200,no,,
bucket,n.,800,no,,
buffet,n.,800,no,,
bug,v./n.,1200,no,,
build,v.,1200,no,,
building,n.,800,no,,
bun,n.,1200,no,,
bundle,n.,800,no,,
burger,n.,1200,no,,
burn,v./n.,1200,no,,
burst,v./n.,800,no,,
bus,v./n.,1200,no,,
business,n.,1200,no,,
businessman,n.,1200,no,,
busy,adj./v.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
but,adv./prep.,1200,no,,
butter,v./n.,1200,no,,
butterfly,n.,1200,no,,
button,v./n.,1200,no,,
buy,v./n.,1200,no,,
by,adv./prep.,1200,no,,
bye,int./n.,1200,no,,
cabbage,n.,800,no,,
cable,v./n.,800,no,,
cafeteria,n.,800,no,,
cage,v./n.,800,no,,
cake,n.,1200,no,,
calendar,n.,800,no,,
call,v./n.,1200,no,,
calm,adj./v.,800,no,,
camera,n.,1200,no,,
camp,v./n.,1200,no,,
campus,n.,800,no,,
can,v./n.,1200,no,,
cancel,v.,800,no,,
cancer,n.,800,no,,
candle,n.,1200,no,,
candy,n.,1200,no,,
can't,v.,1200,no,,
cap,v./n.,1200,no,,
captain,n.,800,no,,
car,n.,1200,no,,
card,n.,1200,no,,
care,v./n.,1200,no,,
careful,adj.,1200,no,,
careless,adj.,800,no,,
carpet,v./n.,800,no,,
carrot,n.,800,no,,
carry,v.,1200,no,,
cartoon,v./n.,800,no,,
case,v./n.,1200,no,,
cash,v./n.,800,no,,
castle,n.,1200,no,,
cat,n.,1200,no,,
catch,v./n.,1200,no,,
cause,v./n.,800,no,,
ceiling,n.,800,no,,
celebrate,v.,1200,no,,
cellphone,n.,1200,no,,
cent,n.,1200,no,,
center,v./n.,1200,no,,
centimeter,n.,1200,no,,
central,adj.,800,no,,
century,n.,800,no,,
cereal,n.,800,no,,
certain,adj./pron.,800,no,,
chair,v./n.,1200,no,,
chalk,v./n.,1200,no,,
chance,v./n.,1200,no,,
change,v./n.,1200,no,,
channel,v./n.,800,no,,
character,n.,800,no,,
charge,v./n.,800,no,,
chart,v./n.,800,no,,
chase,v./n.,800,no,,
cheap,adj./adv.,1200,no,,
cheat,v./n.,1200,no,,
check,v./n.,1200,no,,
cheer,v./n.,1200,no,,
cheese,n.,1200,no,,
chemistry,n.,800,no,,
chess,n.,800,no,,
chicken,n.,1200,no,,
child,n.,1200,no,,
childhood,n.,800,no,,
childish,adj.,800,no,,
childlike,adj.,800,no,,
chin,n.,800,no,,
China,n.,1200,no,,
Chinese,adj./n.,1200,no,,
chocolate,n.,1200,no,,
choice,adj./n.,1200,no,,
choose,v.,1200,no,,
chopsticks,n.,1200,no,,
Christmas,n.,1200,no,,
chubby,adj.,800,no,,
church,n.,1200,no,,
circle,v./n.,1200,no,,
city,n.,1200,no,,
clap,v./n.,1200,no,,
class,v./n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
classical,adj.,800,no,,
classmate,n.,1200,no,,
classroom,n.,1200,no,,
clean,adj./v.,1200,no,,
clear,adj./v.,1200,no,,
clerk,n.,1200,no,,
clever,adj.,800,no,,
climate,n.,800,no,,
climb,v./n.,1200,no,,
clock,n.,1200,no,,
close,adj./v.,1200,no,,
closet,n.,800,no,,
clothes,n.,1200,no,,
cloud,v./n.,1200,no,,
cloudy,adj.,1200,no,,
club,v./n.,1200,no,,
coach,v./n.,800,no,,
coast,n.,800,no,,
coat,v./n.,1200,no,,
cockroach,n.,800,no,,
coffee,n.,1200,no,,
coin,v./n.,800,no,,
cola,n.,800,no,,
cold,adj./n.,1200,no,,
collect,v.,1200,no,,
college,n.,800,no,,
color,v./n.,1200,no,,
colorful,adj.,800,no,,
comb,v./n.,1200,no,,
come,v.,1200,no,,
comfortable,adj.,1200,no,,
comic,adj./n.,1200,no,,
command,v./n.,800,no,,
comment,v./n.,800,no,,
common,adj./n.,1200,no,,
company,n.,800,yes,02,第二週核心單字
compare,v.,800,no,,
complain,v.,800,no,,
complete,adj./v.,800,no,,
computer,n.,1200,no,,
concern,v./n.,800,no,,
confident,adj.,800,no,,
confuse,v.,800,no,,
congratulation,n.,800,no,,
consider,v.,800,no,,
considerate,adj.,800,no,,
contact lens,n.,800,no,,
continue,v.,800,yes,02,第二週核心單字
contract,v./n.,800,no,,
control,v./n.,800,no,,
convenience store,n.,800,no,,
convenient,adj.,1200,no,,
conversation,n.,800,no,,
cook,v./n.,1200,no,,
cookie,n.,1200,no,,
cool,adj./v.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
copy,v./n.,1200,no,,
corn,n.,800,no,,
corner,n.,1200,no,,
correct,adj./v.,1200,no,,
cost,v./n.,1200,no,,
cotton,n.,800,no,,
couch,v./n.,1200,no,,
cough,v./n.,800,no,,
could,v.,1200,no,,
couldn't,v.,1200,no,,
count,v./n.,1200,no,,
country,n.,1200,no,,
couple,v./n.,800,no,,
courage,n.,800,no,,
course,v./n.,1200,no,,
court,v./n.,800,no,,
cousin,n.,1200,no,,
cover,v./n.,1200,no,,
cow,n.,1200,no,,
cowboy,n.,800,no,,
crab,n.,800,no,,
crayon,n.,800,no,,
crazy,adj.,1200,no,,
cream,adj./n.,800,no,,
create,v.,800,yes,02,第二週核心單字
credit card,n.,800,no,,
crime,n.,800,no,,
cross,v./n.,1200,no,,
crowd,v./n.,800,no,,
crowded,adj.,800,no,,
cruel,adj.,800,no,,
cry,v./n.,1200,no,,
culture,n.,800,no,,
cup,v./n.,1200,no,,
cure,v./n.,800,no,,
curious,adj.,800,no,,
current,adj./n.,800,no,,
curtain,v./n.,800,no,,
curve,v./n.,800,no,,
custom,n.,800,no,,
customer,n.,800,no,,
cut,v./n.,1200,no,,
cute,adj.,1200,no,,
dad,n.,1200,no,,
daddy,n.,1200,no,,
daily,adj./adv.,800,no,,
damage,v./n.,800,no,,
dance,v./n.,1200,no,,
danger,n.,800,no,,
dangerous,adj.,1200,no,,
dark,adj./n.,1200,no,,
date,v./n.,1200,no,,
daughter,n.,1200,no,,
dawn,v./n.,800,no,,
day,n.,1200,no,,
dead,adj.,1200,no,,
deaf,adj.,800,no,,
deal,v./n.,1200,no,,
dear,adj./adv.,1200,no,,
death,n.,1200,no,,
debate,v./n.,800,no,,
December,n.,1200,no,,
decide,v.,1200,no,,
decision,n.,800,no,,
decorate,v.,800,no,,
decrease,v./n.,800,no,,
deep,adj./adv.,1200,no,,
deer,n.,800,no,,
define,v.,1200,no,,
degree,n.,800,no,,
delicious,adj.,1200,no,,
deliver,v.,800,no,,
dentist,n.,1200,no,,
department,n.,800,no,,
department store,n.,1200,no,,
depend,v.,800,no,,
describe,v.,800,no,,
desert,v./n.,800,no,,
design,v./n.,800,no,,
desire,v./n.,800,no,,
desk,n.,1200,no,,
dessert,n.,800,no,,
detect,v.,800,no,,
develop,v.,800,no,,
dial,v./n.,800,no,,
diamond,n.,800,no,,
diary,n.,800,no,,
dictionary,n.,1200,no,,
didn't,v.,1200,no,,
die,v./n.,1200,no,,
diet,adj./v.,800,no,,
difference,n.,800,no,,
different,adj.,1200,no,,
difficult,adj.,1200,no,,
difficulty,n.,800,no,,
dig,v./n.,1200,no,,
diligent,adj.,800,no,,
dining room,n.,1200,no,,
dinner,n.,1200,no,,
dinosaur,n.,800,no,,
diplomat,n.,800,no,,
direct,adj./v.,800,no,,
direction,n.,800,no,,
dirty,adj./v.,1200,no,,
disappear,v.,800,no,,
discover,v.,800,no,,
discuss,v.,800,no,,
discussion,n.,800,no,,
dish,v./n.,1200,no,,
dishonest,adj.,800,no,,
distance,v./n.,800,no,,
distant,adj.,800,no,,
divide,v./n.,800,no,,
dizzy,adj.,800,no,,
do,v.,1200,no,,
doctor,n.,1200,no,,
dodge ball,n.,800,no,,
doesn't,v.,1200,no,,
dog,n.,1200,no,,
doll,n.,1200,no,,
dollar,n.,1200,no,,
dolphin,n.,800,no,,
donkey,n.,800,no,,
don't,v.,1200,no,,
door,n.,1200,no,,
dot,v./n.,1200,no,,
double,adj./v.,800,no,,
doubt,v./n.,800,no,,
doughnut,n.,800,no,,
down,adj./v.,1200,no,,
download,v./n.,1200,no,,
downstairs,adj./adv.,800,no,,
downtown,adj./adv.,800,no,,
dozen,n.,1200,no,,
Dr.,n.,1200,no,,
dragon,n.,800,no,,
drama,n.,800,no,,
draw,v./n.,1200,no,,
drawer,n.,1200,no,,
dream,v./n.,1200,no,,
dress,v./n.,1200,no,,
dresser,n.,800,no,,
drink,v./n.,1200,no,,
drive,v./n.,1200,no,,
driver,n.,1200,no,,
drop,v./n.,1200,no,,
drugstore,n.,800,no,,
drum,v./n.,1200,no,,
dry,adj./v.,1200,no,,
dryer,n.,800,no,,
duck,v./n.,1200,no,,
dumb,adj.,800,no,,
dumpling,n.,800,no,,
during,prep.,1200,no,,
duty,n.,800,no,,
each,adj./adv.,1200,no,,
eagle,n.,800,no,,
ear,n.,1200,no,,
early,adj./adv.,1200,no,,
earn,v.,800,no,,
earrings,n.,800,no,,
earth,n.,1200,no,,
earthquake,n.,1200,no,,
ease,v./n.,800,no,,
east,adj./adv.,1200,no,,
Easter,n.,1200,no,,
easy,adj.,1200,no,,
eat,v.,1200,no,,
edge,v./n.,800,no,,
education,n.,800,no,,
effort,n.,800,no,,
egg,n.,1200,no,,
eight,adj./n.,1200,no,,
eighteen,adj./n.,1200,no,,
eighty,adj./n.,1200,no,,
either,adj./adv.,1200,no,,
elder,adj./n.,800,no,,
elect,adj./v.,800,no,,
electric,adj.,800,no,,
elementary school,n.,1200,no,,
elephant,n.,1200,no,,
eleven,adj./n.,1200,no,,
else,adj./adv.,1200,no,,
e-mail,v./n.,1200,no,,
embarrass,v.,800,no,,
emotion,n.,800,no,,
emphasize,v.,800,no,,
employ,v.,800,no,,
empty,adj./v.,800,no,,
end,v./n.,1200,no,,
enemy,n.,800,no,,
energetic,adj.,800,no,,
energy,n.,800,no,,
engine,n.,800,no,,
engineer,n.,1200,no,,
English,adj./n.,1200,no,,
enjoy,v.,1200,no,,
