word,part_of_speech,level,taught,week_taught,notes
ketchup,n.,800,no,,
key,adj./v.,1200,no,,
kick,v./n.,1200,no,,
kid,v./n.,1200,no,,
kill,v./n.,1200,no,,
kilogram,n.,1200,no,,
kilometer,n.,800,no,,
kind,adj./n.,1200,no,,
kindergarten,n.,800,no,,
king,n.,1200,no,,
kingdom,n.,800,no,,
kiss,v./n.,1200,no,,
kitchen,n.,1200,no,,
kite,n.,1200,no,,
kitten,n.,800,no,,
knee,v./n.,1200,no,,
knife,v./n.,1200,no,,
knock,v./n.,1200,no,,
know,v.,1200,no,,
knowledge,n.,1200,no,,
koala,n.,800,no,,
lack,v./n.,800,no,,
lady,n.,800,no,,
lake,n.,1200,no,,
lamb,v./n.,800,no,,
lamp,n.,1200,no,,
land,v./n.,1200,no,,
language,n.,1200,no,,
lantern,n.,800,no,,
large,adj.,1200,no,,
last,adj./v.,1200,no,,
late,adj./adv.,1200,no,,
later,adv.,1200,no,,
latest,adj.,800,no,,
latter,adj.,800,no,,
laugh,v./n.,1200,no,,
law,n.,800,no,,
lawyer,n.,1200,no,,
lay,v.,800,no,,
lazy,adj.,1200,no,,
lead,v./n.,1200,no,,
leader,n.,1200,no,,
leaf,v./n.,800,no,,
learn,v.,1200,no,,
least,adj./adv.,1200,no,,
leave,v./n.,1200,no,,
left,adj./adv.,1200,no,,
leg,n.,1200,no,,
lemon,n.,1200,no,,
lend,v.,1200,no,,
less,adj./adv.,1200,no,,
lesson,n.,1200,no,,
let,v.,1200,no,,
let's,v.,1200,no,,
letter,n.,1200,no,,
lettuce,n.,800,no,,
level,adj./n.,1200,no,,
library,n.,1200,no,,
lick,v./n.,800,no,,
lid,n.,800,no,,
lie,v./n.,1200,no,,
life,n.,1200,no,,
lift,v./n.,800,no,,
light,adj./v.,1200,no,,
lightning,n.,800,no,,
like,v./prep.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
likely,adj./adv.,800,no,,
limit,v./n.,800,no,,
line,v./n.,1200,no,,
link,v./n.,800,no,,
lion,n.,1200,no,,
lip,n.,1200,no,,
liquid,n.,800,no,,
list,v./n.,1200,no,,
listen,v.,1200,no,,
liter,n.,800,no,,
little,adj./adv.,1200,no,,
live,adj./v.,1200,no,,
living room,n.,1200,no,,
loaf,n.,800,no,,
local,adj./n.,800,no,,
lock,v./n.,800,no,,
locker,n.,800,no,,
lonely,adj.,1200,no,,
long,adj./v.,1200,no,,
look,v./n.,1200,no,,
lose,v.,1200,no,,
loser,n.,800,no,,
loud,adj./adv.,1200,no,,
love,v./n.,1200,no,,
lovely,adj.,1200,no,,
low,adj./adv.,1200,no,,
lucky,adj.,1200,no,,
lunch,v./n.,1200,no,,
ma'am,n.,800,no,,
machine,v./n.,1200,no,,
mad,adj.,1200,no,,
magazine,n.,800,no,,
magic,adj./n.,1200,no,,
magician,n.,800,no,,
mail,v./n.,1200,no,,
mailman,n.,1200,no,,
main,adj./n.,1200,no,,
major,adj./v.,800,no,,
make,v.,1200,no,,
male,adj./n.,800,no,,
mall,n.,800,no,,
man,v./n.,1200,no,,
manager,n.,800,no,,
mango,n.,800,no,,
manner,n.,800,no,,
many,adj./pron.,1200,no,,
map,v./n.,1200,no,,
march,n.,1200,no,,
mark,v./n.,1200,no,,
marker,n.,1200,no,,
market,v./n.,1200,no,,
married,adj.,1200,no,,
marry,v.,800,no,,
marvelous,adj.,800,no,,
mask,v./n.,1200,no,,
mass,adj./n.,800,no,,
master,v./n.,800,no,,
mat,n.,800,no,,
match,v./n.,800,no,,
math,n.,1200,no,,
mathematics,n.,1200,no,,
matter,v./n.,1200,no,,
maximum,adj./n.,800,no,,
may,v./n.,1200,no,,
maybe,adv.,1200,no,,
me,pron.,1200,no,,
meal,n.,1200,no,,
mean,adj./v.,1200,no,,
meaning,n.,800,no,,
measure,v./n.,800,no,,
meat,n.,1200,no,,
mechanic,n.,800,no,,
medicine,n.,1200,no,,
medium,adj./n.,1200,no,,
meet,v./n.,1200,no,,
meeting,n.,1200,no,,
member,n.,1200,no,,
memory,n.,800,no,,
men's room,n.,800,no,,
menu,n.,1200,no,,
message,n.,800,no,,
metal,adj./n.,800,no,,
meter,v./n.,800,no,,
method,n.,800,no,,
metro,n.,1200,no,,
microwave,v./n.,800,no,,
middle,adj./v.,1200,no,,
midnight,adj./n.,800,no,,
might,v./n.,1200,no,,
mightn't,v.,1200,no,,
mile,n.,1200,no,,
milk,v./n.,1200,no,,
million,n.,1200,no,,
mind,v./n.,1200,no,,
mine,v./n.,1200,no,,
minor,adj./v.,800,no,,
minus,adj./prep.,800,no,,
minute,adj./n.,1200,no,,
mirror,v./n.,800,no,,
miss,v./n.,1200,no,,
mistake,v./n.,1200,no,,
mix,v./n.,800,no,,
model,v./n.,800,no,,
modern,adj.,1200,no,,
mom,n.,1200,no,,
moment,n.,1200,no,,
mommy,n.,1200,no,,
Monday,n.,1200,no,,
money,n.,1200,no,,
monkey,n.,1200,no,,
monster,n.,800,no,,
month,n.,1200,no,,
moon,n.,1200,no,,
mop,v./n.,1200,no,,
more,adj./adv.,1200,no,,
morning,n.,1200,no,,
mosquito,n.,800,no,,
most,adj./adv.,1200,no,,
mother,v./n.,1200,no,,
motion,v./n.,800,no,,
motorcycle,n.,1200,no,,
mountain,n.,1200,no,,
mouse,n.,1200,no,,
mouth,v./n.,1200,no,,
move,v./n.,1200,no,,
movement,n.,800,no,,
movie,n.,1200,no,,
Mr.,n.,1200,no,,
Mrs.,n.,1200,no,,
MRT,n.,800,no,,
Ms.,n.,1200,no,,
much,adj./adv.,1200,no,,
mud,n.,1200,no,,
museum,n.,1200,no,,
music,n.,1200,no,,
musician,n.,800,no,,
must,v./n.,1200,no,,
mustn't,v.,1200,no,,
my,pron.,1200,no,,
myself,pron.,1200,no,,
nail,v./n.,1200,no,,
name,v./n.,1200,no,,
napkin,n.,800,no,,
narrow,adj./v.,800,no,,
nation,n.,800,no,,
national,adj.,1200,no,,
natural,adj.,800,no,,
nature,n.,1200,no,,
naughty,adj.,800,no,,
near,adj./v.,1200,no,,
nearly,adv.,800,no,,
necessary,adj.,800,no,,
neck,v./n.,1200,no,,
necklace,n.,800,no,,
need,v./n.,1200,no,,
needle,v./n.,800,no,,
negative,adj./n.,800,no,,
neighbor,v./n.,1200,no,,
neither,adj./adv.,800,no,,
nephew,n.,800,no,,
nervous,adj.,800,no,,
nest,v./n.,800,no,,
net,adj./v.,800,no,,
never,adv.,1200,no,,
new,adj.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
news,n.,1200,no,,
newspaper,n.,1200,no,,
next,adj./adv.,1200,no,,
nice,adj.,1200,no,,
nice-looking,adj.,800,no,,
niece,n.,800,no,,
night,n.,1200,no,,
nine,adj./n.,1200,no,,
nineteen,adj./n.,1200,no,,
ninety,adj./n.,1200,no,,
no,adj./adv.,1200,no,,
nobody,n./pron.,1200,no,,
nobody's,v.,1200,no,,
nod,v./n.,800,no,,
noise,n.,1200,no,,
noisy,adj.,1200,no,,
none,adv./pron.,800,no,,
noodle,n.,1200,no,,
noon,n.,1200,no,,
nor,conj.,800,no,,
north,adj./adv.,1200,no,,
nose,v./n.,1200,no,,
not,adv.,1200,no,,
note,v./n.,1200,no,,
notebook,n.,1200,no,,
nothing,n./pron.,1200,no,,
notice,v./n.,1200,no,,
novel,adj./n.,800,no,,
November,n.,1200,no,,
now,adv./n.,1200,no,,
number,v./n.,1200,no,,
nurse,v./n.,1200,no,,
nut,n.,800,no,,
obey,v.,800,no,,
object,v./n.,800,no,,
ocean,n.,800,no,,
o'clock,adv./n.,1200,no,,
October,n.,1200,no,,
of,prep.,1200,no,,
off,adj./adv.,1200,no,,
offer,v./n.,800,no,,
office,n.,1200,no,,
officer,n.,1200,no,,
often,adv.,1200,no,,
oil,v./n.,1200,no,,
OK,adj./v.,1200,no,,
old,adj.,1200,no,,
omit,v.,800,no,,
on,adv./prep.,1200,no,,
once,adv./conj.,1200,no,,
one,adj./n.,1200,no,,
oneself,pron.,800,no,,
onion,n.,800,no,,
only,adj./adv.,1200,no,,
open,adj./v.,1200,no,,
operation,n.,800,no,,
opinion,n.,800,no,,
or,conj.,1200,no,,
orange,adj./n.,1200,no,,
order,v./n.,1200,no,,
ordinary,adj.,800,no,,
other,adj./pron.,1200,no,,
our,pron.,1200,no,,
ours,pron.,1200,no,,
ourselves,pron.,1200,no,,
out,adj./v.,1200,no,,
outside,adj./adv.,1200,no,,
oven,n.,800,no,,
over,adj./adv.,1200,no,,
overpass,n.,800,no,,
overseas,adj./adv.,800,no,,
own,adj./v.,1200,no,,
owner,n.,800,no,,
ox,n.,800,no,,
p.m.,adv.,1200,no,,
pack,v./n.,1200,no,,
package,v./n.,1200,no,,
page,n.,1200,no,,
pain,v./n.,800,no,,
painful,adj.,800,no,,
paint,v./n.,1200,no,,
painter,n.,800,no,,
pair,v./n.,1200,no,,
pajamas,n.,800,no,,
pale,adj.,800,no,,
pan,n.,800,no,,
panda,n.,800,no,,
pants,n.,1200,no,,
papaya,n.,1200,no,,
paper,v./n.,1200,no,,
pardon,v./n.,800,no,,
parent,n.,1200,no,,
park,v./n.,1200,no,,
parking lot,n.,800,no,,
parrot,v./n.,800,no,,
part,v./n.,1200,no,,
partner,n.,800,no,,
party,v./n.,1200,no,,
pass,v./n.,1200,no,,
passenger,n.,800,no,,
past,adj./adv.,1200,no,,
paste,v./n.,1200,no,,
path,n.,800,no,,
patient,adj./n.,800,no,,
pattern,v./n.,800,no,,
pause,v./n.,800,no,,
pay,v./n.,1200,no,,
PE,n.,1200,no,,
peace,n.,800,no,,
peaceful,adj.,800,no,,
peach,n.,1200,no,,
pear,n.,1200,no,,
pen,v./n.,1200,no,,
pencil,v./n.,1200,no,,
people,v./n.,1200,no,,
pepper,v./n.,800,no,,
perfect,adj./v.,800,no,,
perhaps,adv.,1200,no,,
period,n.,800,no,,
person,n.,1200,no,,
personal,adj.,800,no,,
pet,v./n.,1200,no,,
phone,v./n.,1200,no,,
photo,v./n.,1200,no,,
physical education,n.,1200,no,,
physics,n.,800,no,,
piano,n.,1200,no,,
pick,v./n.,1200,no,,
picnic,v./n.,1200,no,,
picture,v./n.,1200,no,,
pie,n.,1200,no,,
piece,v./n.,1200,no,,
pig,v./n.,1200,no,,
pigeon,n.,800,no,,
pile,v./n.,800,no,,
pillow,v./n.,800,no,,
pin,v./n.,1200,no,,
pineapple,n.,800,no,,
pink,adj./n.,1200,no,,
pipe,v./n.,1200,no,,
pizza,n.,1200,no,,
place,v./n.,1200,no,,
plain,adj./adv.,800,no,,
plan,v./n.,1200,no,,
plane,n.,1200,no,,
planet,n.,1200,no,,
plant,v./n.,1200,no,,
plate,v./n.,1200,no,,
platform,n.,800,no,,
play,v./n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
player,n.,1200,yes,02,第二週核心單字
playground,n.,1200,no,,
pleasant,adj.,800,no,,
please,v./adv.,1200,no,,
pleased,adj.,800,no,,
pleasure,n.,1200,no,,
plus,adj./prep.,800,no,,
pocket,adj./v.,1200,no,,
poem,n.,800,no,,
point,v./n.,1200,no,,
poison,v./n.,800,no,,
police,v./n.,1200,no,,
polite,adj.,1200,no,,
pollute,v.,800,no,,
pollution,n.,800,no,,
pond,n.,1200,no,,
pool,v./n.,1200,no,,
poor,adj.,1200,no,,
pop,adj./v.,1200,no,,
pop music,n.,800,no,,
popcorn,n.,1200,no,,
popular,adj.,1200,yes,02,第二週核心單字
population,n.,800,no,,
pork,n.,1200,no,,
position,v./n.,800,no,,
positive,adj./n.,800,no,,
possible,adj.,1200,no,,
post office,n.,1200,no,,
postcard,n.,1200,no,,
pot,v./n.,1200,no,,
potato,n.,800,no,,
pound,v./n.,1200,no,,
powder,v./n.,800,no,,
power,v./n.,1200,no,,
practice,v./n.,1200,no,,
praise,v./n.,800,no,,
pray,v.,1200,no,,
precious,adj.,800,no,,
prepare,v.,1200,no,,
present,adj./v.,1200,no,,
president,n.,800,no,,
pressure,v./n.,800,no,,
pretty,adj./adv.,1200,no,,
price,v./n.,1200,no,,
priest,n.,800,no,,
primary,adj./n.,800,no,,
prince,n.,800,no,,
princess,n.,800,no,,
principal,adj./n.,800,no,,
principle,n.,800,no,,
print,v./n.,800,no,,
printer,n.,800,no,,
private,adj.,800,no,,
prize,v./n.,1200,no,,
probably,adv.,1200,no,,
problem,n.,1200,no,,
produce,v./n.,800,no,,
production,n.,800,no,,
professor,n.,800,no,,
program,v./n.,1200,yes,02,第二週核心單字
progress,v./n.,800,no,,
project,v./n.,800,yes,02,第二週核心單字
promise,v./n.,800,no,,
pronounce,v.,800,no,,
protect,v.,800,no,,
proud,adj.,1200,no,,
provide,v.,800,no,,
public,adj./n.,1200,no,,
pull,v./n.,1200,no,,
pump,v./n.,800,no,,
pumpkin,n.,1200,no,,
punish,v.,800,no,,
puppy,n.,1200,no,,
purple,adj./n.,1200,no,,
purpose,n.,800,no,,
purse,n.,800,no,,
push,v./n.,1200,no,,
put,v.,1200,no,,
puzzle,v./n.,800,no,,
quarter,v./n.,1200,no,,
queen,n.,1200,no,,
question,v./n.,1200,no,,
quick,adj./adv.,1200,no,,
quiet,adj./v.,1200,no,,
quit,v.,800,no,,
quite,adv.,1200,no,,
quiz,v./n.,1200,no,,
R.O.C.,n.,1200,no,,
rabbit,n.,1200,no,,
race,v./n.,1200,no,,
radio,v./n.,1200,no,,
railroad,n.,800,no,,
railway,n.,800,no,,
rain,v./n.,1200,no,,
rainbow,n.,1200,no,,
raincoat,n.,800,no,,
rainy,adj.,1200,no,,
raise,v./n.,1200,no,,
rare,adj.,800,no,,
rat,n.,1200,no,,
rather,adv.,800,no,,
reach,v./n.,1200,no,,
read,v.,1200,no,,
ready,adj./v.,1200,no,,
real,adj.,1200,no,,
realize,v.,800,no,,
really,adv.,1200,no,,
reason,v./n.,1200,no,,
receive,v.,800,no,,
record,v./n.,800,no,,
recover,v.,800,no,,
rectangle,n.,800,no,,
recycle,v.,800,no,,
red,adj./n.,1200,no,,
refrigerator,n.,1200,no,,
refuse,v./n.,800,no,,
regret,v./n.,800,no,,
regular,adj./n.,800,no,,
reject,v.,800,no,,
relative,adj./n.,1200,no,,
remember,v.,1200,no,,
remind,v.,800,no,,
rent,v./n.,800,no,,
repair,v./n.,800,no,,
repeat,v./n.,1200,no,,
report,v./n.,1200,no,,
reporter,n.,1200,no,,
respect,v./n.,800,no,,
responsible,adj.,800,no,,
rest,v./n.,1200,no,,
restaurant,n.,1200,no,,
restroom,n.,1200,no,,
result,v./n.,800,no,,
return,v./n.,800,no,,
review,v./n.,800,no,,
revise,v.,800,no,,
rice,n.,1200,no,,
rich,adj./n.,1200,no,,
ride,v./n.,1200,no,,
right,adj./adv.,1200,no,,
ring,v./n.,1200,no,,
rise,v./n.,1200,no,,
river,n.,1200,no,,
road,n.,1200,no,,
rob,v.,800,no,,
robot,n.,1200,no,,
ROC,n.,1200,no,,
rock,v./n.,1200,no,,
role,n.,800,no,,
roll,v./n.,1200,no,,
roller,n.,800,no,,
roof,v./n.,800,no,,
room,v./n.,1200,no,,
root,v./n.,1200,no,,
rope,v./n.,1200,no,,
rose,n.,1200,no,,
round,adj./v.,1200,no,,
row,v./n.,1200,no,,
rub,v./n.,800,no,,
rubber,adj./n.,800,no,,
rude,adj.,800,no,,
ruin,v./n.,800,no,,
rule,v./n.,1200,no,,
ruler,n.,1200,no,,
run,v./n.,1200,no,,
rush,v./n.,800,no,,
sad,adj.,1200,no,,
safe,adj./n.,1200,no,,
safety,n.,800,no,,
sail,v./n.,1200,no,,
sailor,n.,800,no,,
salad,n.,1200,no,,
sale,n.,1200,no,,
salesman,n.,1200,no,,
salt,adj./v.,1200,no,,
same,adj./adv.,1200,no,,
sample,v./n.,800,no,,
sand,v./n.,800,no,,
sandwich,v./n.,1200,no,,
satisfy,v.,800,no,,
Saturday,n.,1200,no,,
saucer,n.,800,no,,
save,v.,1200,no,,
say,v.,1200,no,,
scared,adj.,1200,no,,
scarf,n.,800,no,,
scene,n.,800,no,,
scenery,n.,800,no,,
school,v./n.,1200,no,,
science,n.,1200,no,,
scientist,n.,800,no,,
scooter,n.,1200,no,,
score,v./n.,800,no,,
screen,n.,1200,no,,
sea,n.,1200,no,,
seafood,n.,800,no,,
search,v./n.,800,no,,
season,v./n.,1200,no,,
seat,v./n.,1200,no,,
second,adj./adv.,1200,no,,
secondary,adj.,800,no,,
secret,adj./n.,800,no,,
secretary,n.,1200,no,,
section,v./n.,800,no,,
see,v.,1200,no,,
seed,v./n.,1200,no,,
seek,v.,800,no,,
seem,v.,800,no,,
seesaw,v./n.,1200,no,,
seldom,adv.,1200,no,,
select,adj./v.,800,no,,
selfish,adj.,800,no,,
sell,v.,1200,no,,
semester,n.,800,no,,
send,v.,1200,no,,
senior high school,n.,1200,no,,
sense,v./n.,800,no,,
sentence,v./n.,1200,no,,
September,n.,1200,no,,
serious,adj.,1200,no,,
servant,n.,800,no,,
serve,v.,800,no,,
service,v./n.,1200,no,,
set,adj./v.,1200,no,,
seven,adj./n.,1200,no,,
seventeen,adj./n.,1200,no,,
seventy,adj./n.,1200,no,,
several,adj./pron.,1200,no,,
shake,v./n.,1200,no,,
shall,v.,800,no,,
shape,v./n.,1200,no,,
share,v./n.,1200,yes,02,第二週核心單字
shark,n.,800,no,,
sharp,adj./adv.,1200,no,,
she,pron.,1200,no,,
she'd,v.,1200,no,,
sheep,n.,1200,no,,
sheet,n.,800,no,,
shelf,n.,800,no,,
she'll,v.,1200,no,,
she's,v.,1200,no,,
shine,v./n.,1200,no,,
ship,v./n.,1200,no,,
shirt,n.,1200,no,,
shoe,n.,1200,no,,
shoot,v./n.,800,no,,
shop,v./n.,1200,no,,
shopkeeper,n.,1200,no,,
shore,n.,800,no,,
short,adj.,1200,no,,
shorts,n.,1200,no,,
should,v.,1200,no,,
shoulder,v./n.,1200,no,,
shouldn't,v.,1200,no,,
shout,v./n.,1200,no,,
show,v./n.,1200,no,,
shower,v./n.,1200,no,,
shrimp,n.,800,no,,
shut,adj./v.,800,no,,
shy,adj.,1200,no,,
sick,adj.,1200,no,,
side,adj./n.,1200,no,,
sidewalk,n.,1200,no,,
sight,v./n.,1200,no,,
sign,v./n.,1200,no,,
silence,v./n.,800,no,,
silent,adj.,800,no,,
silly,adj.,800,no,,
silver,adj./n.,800,no,,
similar,adj.,800,no,,
simple,adj.,1200,yes,02,第二週核心單字
since,adv./prep.,1200,no,,
sincere,adj.,800,no,,
sing,v.,1200,no,,
singer,n.,1200,no,,
single,adj./v.,800,no,,
sink,v./n.,800,no,,
sir,n.,1200,no,,
sister,n.,1200,no,,
sit,v.,1200,no,,
six,adj./n.,1200,no,,
sixteen,adj./n.,1200,no,,
sixty,adj./n.,1200,no,,
size,v./n.,1200,no,,
skate,v./n.,800,no,,
ski,v./n.,800,no,,
skill,n.,800,no,,
skillful,adj.,800,no,,
skin,v./n.,800,no,,
skinny,adj.,800,no,,
skirt,v./n.,1200,no,,
sky,n.,1200,no,,
sleep,v./n.,1200,no,,
sleepy,adj.,800,no,,
slender,adj.,800,no,,
slice,v./n.,800,no,,
slide,v./n.,1200,no,,
slim,adj./v.,1200,no,,
slippers,n.,800,no,,
slow,adj./v.,1200,no,,
small,adj./adv.,1200,no,,
smart,adj.,1200,no,,
smell,v./n.,1200,no,,
smile,v./n.,1200,no,,
smoke,v./n.,1200,no,,
snack,v./n.,1200,no,,
snail,n.,800,no,,
snake,v./n.,1200,no,,
sneakers,n.,800,no,,
sneaky,adj.,800,no,,
snow,v./n.,1200,no,,
snowman,n.,800,no,,
snowy,adj.,1200,no,,
so,adv./conj.,1200,no,,
soap,v./n.,800,no,,
soccer,n.,1200,no,,
social,adj.,800,no,,
society,n.,800,no,,
socks,n.,1200,no,,
soda,n.,800,no,,
sofa,n.,1200,no,,
soft drink,n.,800,no,,
softball,n.,800,no,,
soldier,n.,1200,no,,
solve,v.,800,no,,
some,adj./pron.,1200,no,,
somebody,n./pron.,1200,no,,
somebody's,v.,1200,no,,
someone,n./pron.,1200,no,,
something,n./pron.,1200,no,,
sometimes,adv.,1200,no,,
somewhere,adv.,1200,no,,
son,n.,1200,no,,
song,n.,1200,no,,
soon,adv.,1200,no,,
sore,adj./n.,1200,no,,
sorry,adj./int.,1200,no,,
soul,n.,800,no,,
sound,adj./v.,1200,no,,
soup,n.,1200,no,,
sour,adj./v.,800,no,,
south,adj./adv.,1200,no,,
soy-sauce,n.,800,no,,
space,v./n.,1200,no,,
spaghetti,n.,800,no,,
speak,v.,1200,no,,
speaker,n.,800,no,,
special,adj./n.,1200,no,,
speech,n.,800,no,,
speed,v./n.,800,no,,
spell,v./n.,1200,no,,
spend,v.,1200,no,,
spider,n.,1200,no,,
spirit,n.,800,no,,
spoon,v./n.,1200,no,,
sports,adj.,1200,no,,
spot,v./n.,800,no,,
spread,v./n.,800,no,,
spring,v./n.,1200,no,,
square,adj./n.,1200,no,,
stairs,n.,1200,no,,
stamp,v./n.,1200,no,,
stand,v./n.,1200,no,,
star,v./n.,1200,no,,
start,v./n.,1200,no,,
state,adj./v.,800,no,,
station,v./n.,1200,no,,
stationery,n.,800,no,,
stay,v./n.,1200,no,,
steak,n.,1200,no,,
steal,v.,800,no,,
steam,v./n.,800,no,,
step,v./n.,800,no,,
still,adj./v.,1200,no,,
stingy,adj.,800,no,,
stomach,n.,1200,no,,
stomachache,n.,800,no,,
stone,v./n.,800,no,,
stop,v./n.,1200,no,,
store,v./n.,1200,no,,
storm,v./n.,800,no,,
stormy,adj.,800,no,,
story,n.,1200,no,,
stove,n.,800,no,,
straight,adj./adv.,1200,no,,
strange,adj.,1200,no,,
stranger,n.,1200,no,,
straw,n.,800,no,,
strawberry,n.,1200,no,,
stream,v./n.,800,no,,
street,n.,1200,no,,
strike,v./n.,800,no,,
string,v./n.,1200,no,,
strong,adj.,1200,no,,
student,n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
study,v./n.,1200,no,,
stupid,adj.,1200,no,,
style,v./n.,800,no,,
subject,adj./v.,1200,no,,
subway,n.,800,no,,
succeed,v.,800,no,,
success,n.,800,no,,
successful,adj.,1200,no,,
such,adj./pron.,800,no,,
sudden,adj./n.,800,no,,
sugar,v./n.,1200,no,,
suggest,v.,800,yes,02,第二週核心單字
suit,v./n.,800,no,,
summer,n.,1200,no,,
sun,v./n.,1200,no,,
Sunday,n.,1200,no,,
sunny,adj.,1200,no,,
super,adj./adv.,800,no,,
supermarket,n.,1200,no,,
supper,n.,800,no,,
support,v./n.,800,no,,
sure,adj./adv.,1200,no,,
surf,v./n.,1200,no,,
surprise,v./n.,1200,no,,
surprised,adj.,1200,no,,
survive,v.,800,no,,
swallow,v./n.,800,no,,
swan,n.,800,no,,
sweater,n.,1200,no,,
sweep,v./n.,800,no,,
sweet,adj./n.,1200,no,,
swim,v./n.,1200,no,,
swimsuit,n.,800,no,,
swing,v./n.,1200,no,,
symbol,n.,800,no,,
system,n.,800,no,,
table,n.,1200,no,,
table tennis,n.,800,no,,
tail,v./n.,1200,no,,
Taiwan,n.,1200,no,,
take,v.,1200,no,,
talent,n.,800,no,,
talk,v./n.,1200,no,,
talkative,adj.,800,no,,
tall,adj.,1200,no,,
tangerine,n.,800,no,,
tank,n.,800,no,,
tape,v./n.,1200,no,,
taste,v./n.,1200,no,,
taxi,n.,1200,no,,
tea,n.,1200,no,,
teach,v.,1200,no,,
teacher,n.,1200,no,,
team,v./n.,1200,no,,
teapot,n.,800,no,,
tear,v./n.,800,no,,
teenager,n.,1200,no,,
telephone,v./n.,1200,no,,
television,n.,1200,no,,
tell,v.,1200,no,,
temperature,n.,800,no,,
temple,n.,1200,no,,
ten,adj./n.,1200,no,,
tennis,n.,1200,no,,
tent,n.,800,no,,
term,v./n.,800,no,,
terrible,adj.,1200,no,,
terrific,adj.,800,no,,
test,v./n.,1200,yes,02,第二週核心單字
textbook,n.,800,no,,
than,prep./conj.,1200,no,,
thank,v./n.,1200,no,,
that,adj./adv.,1200,no,,
that's,v.,1200,no,,
the,art.,1200,no,,
theater,n.,1200,no,,
their,pron.,1200,no,,
theirs,pron.,1200,no,,
them,pron.,1200,no,,
themselves,pron.,1200,no,,
then,adj./adv.,1200,no,,
there,adv./n.,1200,no,,
therefore,adv.,800,no,,
there's,v.,1200,no,,
these,adj./pron.,1200,no,,
they,pron.,1200,no,,
they'd,v.,1200,no,,
they'll,v.,1200,no,,
they're,v.,1200,no,,
they've,v.,1200,no,,
thick,adj.,1200,no,,
thief,n.,800,no,,
thin,adj.,1200,no,,
thing,n.,1200,no,,
think,v.,1200,no,,
third,adj./adv.,1200,no,,
thirsty,adj.,1200,no,,
thirteen,adj./n.,1200,no,,
thirty,adj./n.,1200,no,,
this,adj./adv.,1200,no,,
those,adj./pron.,1200,no,,
though,adv./conj.,1200,no,,
thought,n.,800,no,,
thousand,adj./n.,1200,no,,
three,adj./n.,1200,no,,
throat,n.,1200,no,,
through,adv./prep.,1200,no,,
throw,v./n.,1200,no,,
thumb,v./n.,800,no,,
thunder,v./n.,800,no,,
Thursday,n.,1200,no,,
ticket,v./n.,1200,no,,
tidy,adj./v.,1200,no,,
tie,v./n.,1200,no,,
tiger,n.,1200,no,,
till,prep./conj.,800,no,,
time,v./n.,1200,no,,
tiny,adj.,800,no,,
tip,v./n.,1200,no,,
tired,adj.,1200,no,,
title,v./n.,800,no,,
to,prep.,1200,no,,
toast,v./n.,1200,no,,
today,adv./n.,1200,no,,
toe,v./n.,1200,no,,
tofu,n.,800,no,,
together,adj./adv.,1200,no,,
toilet,n.,800,no,,
tomato,n.,1200,no,,
tomorrow,adv./n.,1200,no,,
tongue,v./n.,800,no,,
tonight,adv./n.,1200,no,,
too,adv.,1200,no,,
tool,v./n.,1200,no,,
tooth,n.,1200,no,,
toothache,n.,800,no,,
toothbrush,n.,800,no,,
top,adj./v.,1200,no,,
topic,n.,1200,no,,
total,adj./v.,1200,no,,
touch,v./n.,1200,no,,
toward,prep.,800,no,,
towel,v./n.,1200,no,,
tower,v./n.,800,no,,
town,n.,1200,no,,
toy,v./n.,1200,no,,
trace,v./n.,800,no,,
trade,v./n.,800,no,,
tradition,n.,800,no,,
traditional,adj.,800,no,,
traffic,v./n.,1200,no,,
train,v./n.,1200,no,,
trap,v./n.,800,no,,
trash,v./n.,1200,no,,
travel,v./n.,800,no,,
treasure,v./n.,800,no,,
treat,v./n.,1200,no,,
tree,n.,1200,no,,
triangle,n.,800,no,,
trick,v./n.,1200,no,,
trip,v./n.,1200,no,,
trouble,v./n.,1200,no,,
trousers,n.,800,no,,
truck,v./n.,1200,no,,
true,adj./v.,1200,no,,
trumpet,v./n.,800,no,,
trust,v./n.,800,no,,
truth,n.,800,no,,
try,v./n.,1200,no,,
T-shirt,n.,1200,no,,
tub,n.,800,no,,
tube,n.,800,no,,
Tuesday,n.,1200,no,,
tunnel,v./n.,800,no,,
turkey,n.,800,no,,
turn,v./n.,1200,no,,
turtle,n.,1200,no,,
TV,n.,1200,no,,
twelve,adj./n.,1200,no,,
twenty,adj./n.,1200,no,,
twice,adv.,1200,no,,
two,adj./n.,1200,no,,
type,v./n.,1200,no,,
typhoon,n.,1200,no,,
U.S.A.,n.,1200,no,,
ugly,adj.,1200,no,,
umbrella,n.,1200,no,,
uncle,n.,1200,no,,
under,adv./prep.,1200,no,,
underline,v./n.,800,no,,
underpass,n.,800,no,,
understand,v.,1200,no,,
underwear,n.,800,no,,
unhappy,adj.,1200,no,,
uniform,adj./v.,1200,no,,
unique,adj./n.,800,no,,
universe,n.,800,no,,
university,n.,800,no,,
until,prep./conj.,1200,no,,
up,adj./v.,1200,no,,
upload,v./n.,1200,no,,
upon,prep.,800,no,,
upper,adj./n.,800,no,,
